# g4 capture started 15:52:43
   0.019    0:1   Port subscribed            128:0 -> 131:0
  20.318  129:0   Control change          1, controller 47, value 127
  20.499  129:0   Control change          1, controller 47, value 0
  61.654  129:0   Control change          1, controller 48, value 127
  61.818  129:0   Control change          1, controller 48, value 0
  95.693  129:0   Control change          1, controller 13, value 127
  95.856  129:0   Control change          1, controller 13, value 0
 114.507  129:0   Control change          1, controller 14, value 127
 114.683  129:0   Control change          1, controller 14, value 0
 140.529  129:0   Control change          1, controller 5, value 127
 140.642  129:0   Control change          1, controller 5, value 0
 165.638  129:0   Control change          1, controller 6, value 127
 165.904  129:0   Control change          1, controller 6, value 0
 204.105  129:0   Control change          1, controller 11, value 127
 204.330  129:0   Control change          1, controller 11, value 0
 224.015  129:0   Control change          1, controller 32, value 127
 224.192  129:0   Control change          1, controller 32, value 0
 251.914  129:0   Control change          1, controller 38, value 127
 252.033  129:0   Control change          1, controller 38, value 0
 337.687  129:0   Control change          1, controller 37, value 127
 337.887  129:0   Control change          1, controller 37, value 0
 364.294  129:0   Control change          1, controller 51, value 127
 364.446  129:0   Control change          1, controller 51, value 0
 458.821  129:0   Control change          1, controller 50, value 127
 458.942  129:0   Control change          1, controller 50, value 0
 591.157  129:0   Control change          1, controller 49, value 127
 591.235  129:0   Control change          1, controller 49, value 0
 591.253  129:0   Control change          1, controller 49, value 127
 591.489  129:0   Control change          1, controller 49, value 0
 638.466  129:0   Control change          1, controller 33, value 127
 638.674  129:0   Control change          1, controller 33, value 0
 644.535  129:0   Control change          1, controller 4, value 127
 644.694  129:0   Control change          1, controller 4, value 0
 648.689  129:0   Control change          1, controller 30, value 127
 648.840  129:0   Control change          1, controller 30, value 0
 781.652  129:0   Control change          1, controller 27, value 127
 781.775  129:0   Control change          1, controller 27, value 0
 791.553  129:0   Control change          1, controller 34, value 127
 791.721  129:0   Control change          1, controller 34, value 0
 868.670  129:0   Control change          1, controller 25, value 127
 868.870  129:0   Control change          1, controller 25, value 0
 874.140  129:0   Control change          1, controller 26, value 127
 874.240  129:0   Control change          1, controller 26, value 0
 879.870  129:0   Control change          1, controller 29, value 127
 879.944  129:0   Control change          1, controller 29, value 0
 927.208  129:0   Control change          1, controller 15, value 112
 927.570  129:0   Control change          1, controller 15, value 104
 927.997  129:0   Control change          1, controller 15, value 96
 928.733  129:0   Control change          1, controller 15, value 88
 928.808  129:0   Control change          1, controller 15, value 80
 928.904  129:0   Control change          1, controller 15, value 72
 928.947  129:0   Control change          1, controller 15, value 64
 929.576  129:0   Control change          1, controller 15, value 56
 929.662  129:0   Control change          1, controller 15, value 48
 936.553  129:0   Control change          1, controller 15, value 56
 936.787  129:0   Control change          1, controller 15, value 64
 936.873  129:0   Control change          1, controller 15, value 72
 936.979  129:0   Control change          1, controller 15, value 80
 937.129  129:0   Control change          1, controller 15, value 88
 937.203  129:0   Control change          1, controller 15, value 96
 937.278  129:0   Control change          1, controller 15, value 104
 937.374  129:0   Control change          1, controller 15, value 112
 937.492  129:0   Control change          1, controller 15, value 120
 937.641  129:0   Control change          1, controller 15, value 0
 937.758  129:0   Control change          1, controller 15, value 8
 938.025  129:0   Control change          1, controller 15, value 16
 938.238  129:0   Control change          1, controller 15, value 24
 947.600  129:0   Control change          1, controller 12, value 127
 947.761  129:0   Control change          1, controller 12, value 0
 992.503  129:0   Control change          1, controller 31, value 127
 992.653  129:0   Control change          1, controller 31, value 0
